method,dataset,metric,session,n,mean,sample_std,complete_10,source
FOWAC-DS,LS-100,inc,2,10,0.7656000000000001,0.05478888776222989,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,inc,3,10,0.6100668,0.030871181656108415,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,inc,4,10,0.6003000000000001,0.034076873878531366,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,all,1,10,0.9305529,0.0028413763272986813,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,all,2,10,0.9139443999999999,0.0065227147756470516,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,all,3,10,0.8799051999999999,0.005668273768186497,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,all,4,10,0.8639800000000001,0.007237065089600278,True,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-BCD,FSC-89,known,1,10,0.9244036999999998,0.04437263749967741,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,known,2,10,0.6271822,0.16908309602073043,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,known,3,10,0.6670254000000001,0.30997451950593186,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,known,4,10,0.5464705999999999,0.25061478660073777,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,unknown,1,10,0.6134108,0.08746634089979982,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,unknown,2,10,0.32207600000000003,0.13308649917920967,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,unknown,3,10,0.2398317,0.10614302359034247,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,unknown,4,10,0.1914178,0.12391476306522606,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,auroc,1,10,0.9873600000000001,0.013268107124479627,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,auroc,2,10,0.66144,0.14103656893790978,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,auroc,3,10,0.6728,0.22743680929485055,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,auroc,4,10,0.56416,0.2021118018435451,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,f1,1,10,0.9554832,0.027941881960796985,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,f1,2,10,0.586401,0.1838003602656365,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,f1,3,10,0.6081837999999999,0.2700700868847854,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,f1,4,10,0.5276799,0.27994187092420536,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,inc,1,10,0.38710000000000006,0.07022574709859308,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,inc,2,10,0.2708,0.044114245620509786,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,inc,3,10,0.20523320000000003,0.03662932839739823,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,inc,4,10,0.17360000000000003,0.03037661746950916,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,all,1,10,0.41026349999999995,0.005370958661584021,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,all,2,10,0.38794320000000004,0.00600186204069666,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,all,3,10,0.36548200000000003,0.006038159322177578,True,logs/raw_v2_bcd_fsc89_10runs.log
FOWAC-BCD,FSC-89,all,4,10,0.34619110000000003,0.005748688013606037,True,logs/raw_v2_bcd_fsc89_10runs.log
