method,dataset,provenance,seed,base_acc,inc_aa,final_inc,all_aa,auroc_aa,osr_f1_aa,source
OPCR-acoustic,LS-100,paper-reimplementation,3428,0.857125,0.43012500000000004,0.3225,0.7958658152734778,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3428/metrics.json
OPCR-acoustic,LS-100,paper-reimplementation,3429,0.857125,0.42625,0.307,0.7948408152734777,0.8562000000000001,0.8041092938633922,artifacts/opcr/ls100/seed3429/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3420,0.9985,0.437625,0.5265,0.9287979618163055,0.956,0.9170718255064759,artifacts/opcr/ns100/seed3420/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3421,0.9985,0.42304166666666665,0.4615,0.9258111197110424,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3421/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3422,0.9985,0.437625,0.5265,0.9287979618163055,0.956,0.9170718255064759,artifacts/opcr/ns100/seed3422/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3423,0.9985,0.42304166666666665,0.4615,0.9258111197110424,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3423/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3424,0.9985,0.4415416666666666,0.5355,0.9295111197110423,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3424/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3425,0.9985,0.4409166666666666,0.533,0.9293861197110422,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3425/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3426,0.9985,0.42241666666666666,0.459,0.9256861197110423,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3426/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3427,0.9985,0.42241666666666666,0.459,0.9256861197110423,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3427/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3428,0.9985,0.42304166666666665,0.4615,0.9258111197110424,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3428/metrics.json
OPCR-acoustic,NS-100,paper-reimplementation,3429,0.9985,0.4409166666666666,0.533,0.9293861197110422,0.9551999999999999,0.9170718255064759,artifacts/opcr/ns100/seed3429/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3420,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3420/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3421,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3421/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3422,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3422/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3423,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3423/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3424,0.5756521739130435,0.00029166666666666664,0.0005,0.485603400032802,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3424/metrics.json
YLOC-PAL-acoustic,FSC-89,paper-reimplementation,3425,0.5756521739130435,0.0,0.0,0.4855455482403996,0.3024,0.5157545605306799,artifacts/yloc/fsc89/seed3425/metrics.json
