method,dataset,repeat,session,auroc,aupr,fpr95,cluster_acc,nmi,ari,source_log
FOWAC-UMR,LS-100,3,2,0.7472,0.6821,0.64,0.5385,0.8667,0.7409,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,3,3,0.8208,0.8827,0.8,0.2571,0.801,0.5753,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,3,4,0.9024,0.9101,0.4,0.4286,0.7778,0.5354,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,4,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,4,2,0.9712,0.9682,0.08,0.4688,0.8737,0.6481,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,4,3,0.7664,0.8439,1.0,0.303,0.8035,0.5501,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,4,4,0.6256,0.5345,0.6,0.625,0.9657,0.9342,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,5,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,5,2,0.9904,0.9902,0.04,0.72,0.7968,0.6157,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,5,3,0.8304,0.8993,0.8,0.64,0.7859,0.6457,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,5,4,0.7824,0.6479,0.32,0.4545,0.886,0.6872,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,6,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,6,2,0.9968,0.997,0.0,0.913,0.9081,0.8319,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,6,3,0.872,0.9182,0.6,0.6316,0.6183,0.3905,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,6,4,0.9632,0.9483,0.04,0.4286,0.8449,0.637,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,7,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,7,2,0.9904,0.9914,0.08,0.7826,0.8786,0.7284,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,7,3,0.848,0.9102,0.88,0.65,0.6134,0.3325,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,7,4,0.9408,0.9418,0.2,0.4286,0.8229,0.579,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,8,1,1.0,1.0,0.0,0.9583,0.9323,0.8836,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,8,2,0.9872,0.989,0.04,0.5806,0.8377,0.6455,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,8,3,0.8096,0.8753,0.84,0.5556,0.6992,0.4337,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,8,4,0.904,0.8735,0.2,0.2632,0.7594,0.3965,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,9,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,9,2,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,9,3,0.8224,0.9018,0.92,0.7,0.6721,0.4953,logs/raw_v2_umr_ls100_10runs.log
FOWAC-UMR,LS-100,9,4,0.9664,0.9648,0.12,0.6897,0.9284,0.782,logs/raw_v2_umr_ls100_10runs.log
FOWAC-DS,LS-100,0,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,0,2,0.9696,0.9633,0.08,0.6667,0.8791,0.7219,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,0,3,0.8368,0.906,0.84,0.6842,0.7201,0.5128,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,0,4,0.9376,0.936,0.2,0.6552,0.883,0.7405,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,1,1,1.0,1.0,0.0,0.9565,0.9354,0.901,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,1,2,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,1,3,0.84,0.9175,1.0,0.6667,0.6537,0.3777,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,1,4,1.0,1.0,0.0,0.6667,0.9311,0.7943,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,2,1,1.0,1.0,0.0,0.875,0.8848,0.746,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,2,2,0.9648,0.967,0.16,0.4412,0.827,0.5948,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,2,3,0.8272,0.9064,1.0,0.4828,0.8202,0.594,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,2,4,1.0,1.0,0.0,0.92,0.8728,0.7976,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,3,1,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,3,2,0.9376,0.9356,0.2,0.4286,0.8624,0.5854,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,3,3,0.7856,0.7858,0.8,0.2857,0.8867,0.6909,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,3,4,0.896,0.854,0.28,0.6061,0.7981,0.5797,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,4,1,1.0,1.0,0.0,0.96,0.9352,0.8929,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,4,2,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,4,3,0.8096,0.8982,1.0,0.72,0.9052,0.814,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,4,4,0.984,0.9858,0.08,0.4286,0.8278,0.5996,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,5,1,1.0,1.0,0.0,1.0,1.0,1.0,logs/raw_v2_dfsb_ds_ls100_10runs.log
FOWAC-DS,LS-100,5,2,1.0,1.0,0.0,0.84,0.7834,0.6367,logs/raw_v2_dfsb_ds_ls100_10runs.log
